ID,Sex,Has_HCM,Sire_ID,Sire_has_HCM,Dam_ID,Dam_has_HCM,Probability
100015,f,False,,False,,False,0.0
100020,m,False,,False,,False,0.0
100054,m,False,201727.0,False,110910.0,False,0.0
100061,f,False,,False,,False,0.0
100087,f,False,366924.0,False,168554.0,False,0.0
100153,m,False,,False,,False,0.0
100156,f,False,,False,,False,0.0
100158,m,False,,False,,False,0.0
100170,f,False,,False,,False,0.0
100174,m,False,172690.0,False,112705.0,False,0.0
100233,f,False,,False,,False,0.0
100250,f,False,256299.0,False,137823.0,False,0.0
100295,f,False,,False,,False,0.0
100304,f,False,,False,,False,0.0
100307,f,False,175711.0,False,341210.0,False,0.5
100362,f,False,,False,,False,0.0
100383,m,True,156924.0,False,180751.0,False,0.0
100386,m,False,,False,,False,0.0
100389,m,False,,False,,False,0.0
100462,m,False,328131.0,False,235773.0,False,0.0
100494,m,False,,False,,False,0.0
100510,f,False,,False,,False,0.0
100589,f,False,359905.0,False,207462.0,False,0.0
100617,f,False,,False,,False,0.0
100651,f,False,257579.0,False,311215.0,False,0.0
100674,m,False,152867.0,True,360155.0,False,0.0
100749,m,False,322425.0,False,398143.0,False,0.0
100787,f,False,,False,,False,0.0
100813,m,False,262757.0,False,103919.0,False,0.0
100847,f,False,,False,,False,0.0
100885,f,False,,False,,False,0.0
100922,f,True,188722.0,False,370911.0,False,0.0
100933,m,False,,False,,False,0.0
100938,m,False,,False,,False,0.0
100963,f,False,290270.0,True,166955.0,False,0.0
100965,m,False,,False,,False,0.0
101086,f,False,,False,,False,0.0
101101,f,False,155911.0,False,203385.0,False,0.0
101106,f,False,183568.0,False,372347.0,False,0.0
101109,m,False,,False,,False,0.0
101134,f,False,252604.0,False,344387.0,True,0.0
101167,f,False,166013.0,False,310140.0,False,0.0
101178,m,False,,False,,False,0.0
101247,f,False,,False,,False,0.0
101254,f,False,216894.0,False,341648.0,False,0.0
101361,f,False,148644.0,False,303049.0,False,0.0
101395,m,False,,False,,False,0.0
101425,f,False,102334.0,False,363022.0,False,0.0
101536,m,False,,False,,False,0.0
101558,f,False,,False,,False,0.0
101581,m,False,,False,,False,0.0
101733,f,False,200959.0,False,330345.0,False,0.0
101766,m,False,,False,,False,0.0
101785,f,False,,False,,False,0.0
101786,f,True,271069.0,False,223207.0,False,0.0
101795,f,False,,False,,False,0.0
101831,f,False,335316.0,False,162798.0,False,0.0
101834,f,False,,False,,False,0.0
101861,f,False,101109.0,False,162507.0,False,0.0
101959,m,False,,False,,False,0.0
102041,m,True,147086.0,False,126295.0,False,0.0
102045,m,False,,False,,False,0.0
102105,f,False,,False,,False,0.0
102112,f,False,158676.0,False,391815.0,False,0.0
102134,f,False,,False,,False,0.0
102138,m,False,,False,,False,0.0
102146,m,False,,False,,False,0.0
102182,f,False,343971.0,False,109361.0,False,0.0
102214,m,False,,False,,False,0.0
102243,m,False,,False,,False,0.0
102267,f,False,,False,,False,0.0
102311,m,False,,False,,False,0.0
102334,m,False,,False,,False,0.0
102371,m,False,,False,,False,0.0
102376,m,False,,False,,False,0.0
102421,m,False,224657.0,False,239222.0,False,0.0
102427,f,False,154368.0,False,118929.0,False,0.0
102434,m,False,,False,,False,0.0
102442,m,False,,False,,False,0.0
102453,f,False,,False,,False,0.0
102473,f,False,339494.0,False,406214.0,False,0.0
102482,f,False,,False,,False,0.0
102552,f,False,,False,,False,0.0
102573,m,False,,False,,False,0.0
102628,f,False,360887.0,False,405110.0,False,0.0
102646,f,False,275763.0,False,281886.0,False,0.75
102684,f,False,358787.0,False,169753.0,False,0.0
102713,f,False,375591.0,False,156882.0,False,0.0
102715,f,False,318227.0,False,367985.0,False,0.0
102737,f,False,224496.0,False,196575.0,False,0.0
102756,f,False,185329.0,False,205740.0,False,0.0
102767,m,True,169692.0,False,369282.0,False,0.0
102770,f,False,,False,,False,0.0
102776,f,False,344537.0,False,310849.0,False,0.0
102777,m,False,108389.0,False,260888.0,False,0.0
102797,m,False,,False,,False,0.0
102813,m,False,269517.0,False,194831.0,False,0.0
102844,m,False,,False,,False,0.0
102869,m,False,,False,,False,0.0
102925,m,False,,False,,False,0.0
103003,m,False,,False,,False,0.0
103055,f,False,,False,,False,0.0
103075,m,False,,False,,False,0.0
103157,m,False,,False,,False,0.0
103159,f,False,,False,,False,0.0
103209,m,False,,False,,False,0.0
103210,m,False,,False,,False,0.0
103539,f,False,,False,,False,0.0
103549,f,False,,False,,False,0.0
103693,m,False,,False,,False,0.0
103736,f,True,357340.0,False,155953.0,False,0.0
103775,m,False,,False,,False,0.0
103871,m,False,270718.0,False,203385.0,False,0.0
103888,f,False,,False,,False,0.0
103908,f,False,246979.0,False,383175.0,False,0.0
103919,f,False,278566.0,False,283250.0,False,0.0
103924,m,False,,False,,False,0.0
103931,f,False,321467.0,False,122217.0,False,0.0
103941,m,False,149794.0,False,332329.0,False,0.0
103963,f,False,153206.0,False,270824.0,False,0.0
103990,f,False,285539.0,False,250428.0,False,0.0
104003,m,False,305624.0,False,135427.0,False,0.0
104059,f,False,,False,,False,0.0
104061,f,False,,False,,False,0.0
104182,f,True,183292.0,False,215455.0,False,0.0
104197,m,False,149128.0,False,280737.0,False,0.0
104209,f,False,,False,,False,0.0
104217,f,False,157587.0,False,506916.0,False,0.0
104225,m,False,,False,,False,0.0
104329,m,False,,False,,False,0.0
104330,m,False,,False,,False,0.0
104338,m,False,225891.0,False,317902.0,False,0.0
104351,f,False,,False,,False,0.0
104377,m,False,,False,,False,0.0
104390,f,False,,False,,False,0.0
104436,f,False,185329.0,False,123526.0,False,0.0
104483,f,False,,False,,False,0.0
104531,f,False,211017.0,False,232375.0,False,0.0
104546,f,False,162011.0,False,280737.0,False,0.0
104583,f,False,,False,,False,0.0
104586,f,False,356915.0,True,142080.0,False,0.0
104633,m,False,,False,,False,0.0
104643,m,False,208871.0,False,378596.0,False,0.0
104662,m,False,,False,,False,0.0
104677,f,False,358299.0,False,141278.0,False,0.0
104731,m,False,,False,,False,0.0
104797,f,False,,False,,False,0.0
104828,f,False,,False,,False,0.0
104839,f,False,397238.0,False,245706.0,False,0.0
104846,m,False,,False,,False,0.0
104856,f,False,313758.0,False,353287.0,False,0.0
104867,m,False,304061.0,False,322629.0,False,0.0
104868,m,False,,False,,False,0.0
104906,f,False,121841.0,False,115767.0,False,0.0
104942,f,False,247411.0,False,111138.0,False,0.0
104982,f,False,179720.0,False,266103.0,False,0.0
104989,f,False,,False,,False,0.0
105036,m,False,,False,,False,0.0
105090,f,False,160712.0,False,202412.0,False,0.0
105106,f,False,192054.0,False,320896.0,False,0.0
105157,m,False,399899.0,False,331800.0,False,0.0
105191,m,False,,False,,False,0.0
105198,m,False,,False,,False,0.0
105206,f,False,,False,,False,0.0
105259,m,False,,False,,False,0.0
105266,m,False,,False,,False,0.0
105343,m,False,,False,,False,0.0
105357,f,True,350324.0,False,224448.0,False,0.0
105383,m,False,,False,,False,0.0
105391,m,False,,False,,False,0.0
105465,m,False,,False,,False,0.0
105478,m,False,257242.0,False,128443.0,False,0.0
105485,f,False,,False,,False,0.0
105504,f,False,288594.0,False,183396.0,False,0.0
105539,m,False,335767.0,False,210266.0,False,0.0
105543,f,False,,False,,False,0.0
105563,m,False,331523.0,False,400107.0,False,0.0
105641,m,False,,False,,False,0.0
105736,m,False,,False,,False,0.0
105745,f,False,366527.0,False,380574.0,False,0.0
105825,m,False,,False,,False,0.0
105830,m,False,148956.0,False,329394.0,False,0.0
105840,f,False,,False,,False,0.0
105889,f,False,,False,,False,0.0
105927,f,False,306081.0,False,156600.0,False,0.0
105962,m,False,,False,,False,0.0
105985,f,False,,False,,False,0.0
106026,f,False,,False,,False,0.0
106091,f,False,241291.0,False,358440.0,False,0.0
106100,m,False,330399.0,False,107518.0,False,0.0
106103,f,False,335767.0,False,190010.0,False,0.0
106173,m,False,,False,,False,0.0
106176,m,False,,False,,False,0.0
106202,m,False,,False,,False,0.0
106249,f,False,120976.0,False,102713.0,False,0.0
106260,m,False,,False,,False,0.0
106282,m,False,,False,,False,0.0
106317,f,False,332371.0,False,285832.0,False,0.0
106374,f,False,126663.0,False,379992.0,False,0.0
106380,f,False,,False,,False,0.0
106389,f,False,280220.0,False,301265.0,False,0.0
106417,f,False,,False,,False,0.0
106438,f,False,168850.0,False,271331.0,False,0.0
106490,f,False,105343.0,False,251419.0,False,0.0
106504,f,False,,False,,False,0.0
106529,f,False,276068.0,False,117929.0,False,0.0
106530,f,False,193871.0,False,259861.0,False,0.0
106541,f,False,349306.0,False,325473.0,False,0.0
106559,m,False,,False,,False,0.0
106571,f,False,,False,,False,0.0
106596,m,False,,False,,False,0.0
106601,f,False,268222.0,False,131176.0,False,0.0
106618,m,False,348835.0,False,284388.0,False,0.0
106635,f,False,,False,,False,0.0
106685,m,False,347008.0,False,210295.0,False,0.0
106692,m,False,,False,,False,0.0
106708,m,False,,False,,False,0.0
106797,f,False,340590.0,False,111573.0,False,0.0
106838,m,False,183257.0,False,255235.0,False,0.0
106850,f,False,,False,,False,0.0
106882,f,False,344555.0,False,197669.0,False,0.0
106893,m,False,,False,,False,0.0
106936,m,False,,False,,False,0.0
106966,f,False,,False,,False,0.0
106967,m,False,363089.0,False,113806.0,False,0.0
106987,m,False,,False,,False,0.0
107005,m,False,,False,,False,0.0
107006,f,False,380035.0,False,391653.0,False,0.0
107027,f,False,388455.0,False,139722.0,False,0.0
107036,m,False,,False,,False,0.0
107141,f,False,,False,,False,0.0
107159,m,False,,False,,False,0.0
107171,m,False,157351.0,False,312104.0,False,0.0
107262,f,False,,False,,False,0.0
107390,m,False,,False,,False,0.0
107410,f,False,,False,,False,0.0
107433,f,False,,False,,False,0.0
107493,f,False,315422.0,False,144737.0,False,0.0
107512,m,False,143916.0,False,335851.0,False,0.0
107518,f,False,,False,,False,0.0
107552,f,False,,False,,False,0.0
107562,f,False,,False,,False,0.0
107565,f,False,101959.0,False,370983.0,False,0.0
107585,f,True,377751.0,False,259374.0,False,0.0
107587,m,False,,False,,False,0.0
107653,f,False,,False,,False,0.0
107655,m,False,,False,,False,0.0
107685,f,False,307942.0,False,258925.0,False,0.0
107711,m,False,129250.0,False,201647.0,False,0.0
107721,f,False,366924.0,False,128559.0,False,0.0
107729,f,False,,False,,False,0.0
107749,m,False,,False,,False,0.0
107759,f,False,,False,,False,0.0
107775,f,False,,False,,False,0.0
107871,m,False,,False,,False,0.0
107881,f,False,107749.0,False,362359.0,False,0.0
107886,f,False,346132.0,False,247299.0,True,0.0
107928,f,True,239083.0,False,217182.0,False,0.0
107959,f,False,405035.0,False,119431.0,False,0.0
107987,m,False,305754.0,False,193419.0,False,0.0
107991,f,False,,False,,False,0.0
108015,f,False,387946.0,False,145045.0,False,0.0
108024,m,False,,False,,False,0.0
108035,m,False,,False,,False,0.0
108050,f,False,247124.0,False,149700.0,False,0.0
108054,f,False,386068.0,False,322733.0,False,0.0
108060,f,False,253332.0,False,281965.0,False,0.0
108171,m,False,,False,,False,0.0
108189,f,False,,False,,False,0.0
108190,f,False,,False,,False,0.0
108245,m,False,246221.0,False,384035.0,False,0.0
108277,m,False,135144.0,False,307891.0,False,0.0
108324,f,False,,False,,False,0.0
108353,f,False,379327.0,False,158982.0,False,0.0
108389,m,False,123801.0,False,198443.0,False,0.0
108470,f,False,,False,,False,0.0
108489,f,False,297204.0,False,108189.0,False,0.0
108556,f,False,287121.0,False,192391.0,False,0.0
108579,m,False,159292.0,False,151518.0,False,0.0
108610,m,False,,False,,False,0.0
108642,m,False,,False,,False,0.0
108684,f,False,,False,,False,0.0
108688,f,False,,False,,False,0.0
108700,f,False,,False,,False,0.0
108713,m,False,173640.0,False,400662.0,False,0.0
108727,m,False,349304.0,False,341008.0,False,0.0
108763,f,False,358974.0,False,147914.0,False,0.0
108826,m,False,,False,,False,0.0
108830,m,False,,False,,False,0.0
108859,f,False,173730.0,False,218781.0,False,0.0
108871,m,False,,False,,False,0.0
108883,m,False,257017.0,False,122362.0,False,0.0
108905,f,False,,False,,False,0.0
108914,m,False,198780.0,False,375082.0,False,0.0
108923,f,False,,False,,False,0.0
108927,f,False,,False,,False,0.0
109006,m,False,,False,,False,0.0
109040,m,False,189929.0,False,326064.0,False,0.0
109130,m,False,319657.0,False,183279.0,False,0.0
109169,m,False,,False,,False,0.0
109179,f,False,,False,,False,0.0
109214,f,False,,False,,False,0.0
109361,f,False,,False,,False,0.0
109397,m,False,,False,,False,0.0
109416,m,False,209490.0,False,142039.0,False,0.0
109423,m,False,,False,,False,0.0
109426,f,False,,False,,False,0.0
109438,f,False,,False,,False,0.0
109483,m,False,,False,,False,0.0
109535,m,False,,False,,False,0.0
109606,f,False,,False,,False,0.0
109621,m,False,,False,,False,0.0
109677,m,False,,False,,False,0.0
109717,f,False,,False,,False,0.0
109755,f,False,232214.0,False,241675.0,False,0.0
109782,m,False,,False,,False,0.0
109803,f,False,,False,,False,0.0
109819,m,False,,False,,False,0.0
109825,m,False,386165.0,False,171289.0,False,0.0
109840,f,False,,False,,False,0.0
109952,f,False,301667.0,False,333042.0,False,0.0
109989,m,False,305754.0,False,314607.0,False,0.0
110056,f,False,,False,,False,0.0
110057,m,False,,False,,False,0.0
110073,f,False,,False,,False,0.0
110084,m,False,,False,,False,0.0
110116,m,False,,False,,False,0.0
110132,f,False,168130.0,False,308927.0,False,0.0
110156,f,False,,False,,False,0.0
110224,f,False,312936.0,False,310059.0,False,0.0
110251,f,False,373217.0,False,342261.0,False,0.0
110341,f,False,324505.0,False,145506.0,False,0.0
110342,m,False,373787.0,False,238005.0,False,0.0
110352,m,False,,False,,False,0.0
110353,m,False,,False,,False,0.0
110355,f,False,103003.0,False,199005.0,False,0.0
110394,f,False,,False,,False,0.0
110404,f,False,,False,,False,0.0
110412,f,False,,False,,False,0.0
110439,m,False,,False,,False,0.0
110443,f,False,345953.0,False,149030.0,False,0.0
110472,m,False,,False,,False,0.0
110501,m,False,,False,,False,0.0
110509,f,False,,False,,False,0.0
110516,m,False,,False,,False,0.0
110543,f,False,,False,,False,0.0
110545,m,False,,False,,False,0.0
110644,m,False,,False,,False,0.0
110663,m,False,,False,,False,0.0
110698,m,False,374846.0,False,408786.0,False,0.0
110707,f,False,,False,,False,0.0
110783,m,False,343894.0,False,278601.0,False,0.0
110785,f,False,306876.0,False,102684.0,False,0.0
110820,m,False,358765.0,False,140386.0,False,0.0
110847,m,False,175711.0,False,168554.0,False,0.0
110910,f,False,,False,,False,0.0
110973,f,False,406165.0,False,192123.0,False,0.0
110986,m,False,,False,,False,0.0
111011,m,False,,False,,False,0.0
111041,f,False,,False,,False,0.0
111046,m,False,286169.0,False,500268.0,False,0.0
111101,f,False,109006.0,False,101101.0,False,0.0
111138,f,False,187233.0,False,221945.0,False,0.0
111141,m,False,,False,,False,0.0
111200,m,False,,False,,False,0.0
111221,f,False,245588.0,False,180178.0,False,0.0
111239,m,False,,False,,False,0.0
111255,f,False,,False,,False,0.0
