ID,Sex,Has_HCM,Sire_ID,Sire_has_HCM,Dam_ID,Dam_has_HCM
100015,f,false,,false,,false
100020,m,false,,false,,false
100054,m,false,201727,false,110910,false
100061,f,false,,false,,false
100087,f,false,366924,false,168554,false
100153,m,false,,false,,false
100156,f,false,,false,,false
100158,m,false,,false,,false
100170,f,false,,false,,false
100174,m,false,172690,false,112705,false
100233,f,false,,false,,false
100250,f,false,256299,false,137823,false
100295,f,false,,false,,false
100304,f,false,,false,,false
100307,f,false,175711,false,341210,false
100362,f,false,,false,,false
100383,m,true,156924,false,180751,false
100386,m,false,,false,,false
100389,m,false,,false,,false
100462,m,false,328131,false,235773,false
100494,m,false,,false,,false
100510,f,false,,false,,false
100589,f,false,359905,false,207462,false
100617,f,false,,false,,false
100651,f,false,257579,false,311215,false
100674,m,false,152867,true,360155,false
100749,m,false,322425,false,398143,false
100787,f,false,,false,,false
100813,m,false,262757,false,103919,false
100847,f,false,,false,,false
100885,f,false,,false,,false
100922,f,true,188722,false,370911,false
100933,m,false,,false,,false
100938,m,false,,false,,false
100963,f,false,290270,true,166955,false
100965,m,false,,false,,false
101086,f,false,,false,,false
101101,f,false,155911,false,203385,false
101106,f,false,183568,false,372347,false
101109,m,false,,false,,false
101134,f,false,252604,false,344387,true
101167,f,false,166013,false,310140,false
101178,m,false,,false,,false
101247,f,false,,false,,false
101254,f,false,216894,false,341648,false
101361,f,false,148644,false,303049,false
101395,m,false,,false,,false
101425,f,false,102334,false,363022,false
101536,m,false,,false,,false
101558,f,false,,false,,false
101581,m,false,,false,,false
101733,f,false,200959,false,330345,false
101766,m,false,,false,,false
101785,f,false,,false,,false
101786,f,true,271069,false,223207,false
101795,f,false,,false,,false
101831,f,false,335316,false,162798,false
101834,f,false,,false,,false
101861,f,false,101109,false,162507,false
101959,m,false,,false,,false
102041,m,true,147086,false,126295,false
102045,m,false,,false,,false
102105,f,false,,false,,false
102112,f,false,158676,false,391815,false
102134,f,false,,false,,false
102138,m,false,,false,,false
102146,m,false,,false,,false
102182,f,false,343971,false,109361,false
102214,m,false,,false,,false
102243,m,false,,false,,false
102267,f,false,,false,,false
102311,m,false,,false,,false
102334,m,false,,false,,false
102371,m,false,,false,,false
102376,m,false,,false,,false
102421,m,false,224657,false,239222,false
102427,f,false,154368,false,118929,false
102434,m,false,,false,,false
102442,m,false,,false,,false
102453,f,false,,false,,false
102473,f,false,339494,false,406214,false
102482,f,false,,false,,false
102552,f,false,,false,,false
102573,m,false,,false,,false
102628,f,false,360887,false,405110,false
102646,f,false,275763,false,281886,false
102684,f,false,358787,false,169753,false
102713,f,false,375591,false,156882,false
102715,f,false,318227,false,367985,false
102737,f,false,224496,false,196575,false
102756,f,false,185329,false,205740,false
102767,m,true,169692,false,369282,false
102770,f,false,,false,,false
102776,f,false,344537,false,310849,false
102777,m,false,108389,false,260888,false
102797,m,false,,false,,false
102813,m,false,269517,false,194831,false
102844,m,false,,false,,false
102869,m,false,,false,,false
102925,m,false,,false,,false
103003,m,false,,false,,false
103055,f,false,,false,,false
103075,m,false,,false,,false
103157,m,false,,false,,false
103159,f,false,,false,,false
103209,m,false,,false,,false
103210,m,false,,false,,false
103539,f,false,,false,,false
103549,f,false,,false,,false
103693,m,false,,false,,false
103736,f,true,357340,false,155953,false
103775,m,false,,false,,false
103871,m,false,270718,false,203385,false
103888,f,false,,false,,false
103908,f,false,246979,false,383175,false
103919,f,false,278566,false,283250,false
103924,m,false,,false,,false
103931,f,false,321467,false,122217,false
103941,m,false,149794,false,332329,false
103963,f,false,153206,false,270824,false
103990,f,false,285539,false,250428,false
104003,m,false,305624,false,135427,false
104059,f,false,,false,,false
104061,f,false,,false,,false
104182,f,true,183292,false,215455,false
104197,m,false,149128,false,280737,false
104209,f,false,,false,,false
104217,f,false,157587,false,506916,false
104225,m,false,,false,,false
104329,m,false,,false,,false
104330,m,false,,false,,false
104338,m,false,225891,false,317902,false
104351,f,false,,false,,false
104377,m,false,,false,,false
104390,f,false,,false,,false
104436,f,false,185329,false,123526,false
104483,f,false,,false,,false
104531,f,false,211017,false,232375,false
104546,f,false,162011,false,280737,false
104583,f,false,,false,,false
104586,f,false,356915,true,142080,false
104633,m,false,,false,,false
104643,m,false,208871,false,378596,false
104662,m,false,,false,,false
104677,f,false,358299,false,141278,false
104731,m,false,,false,,false
104797,f,false,,false,,false
104828,f,false,,false,,false
104839,f,false,397238,false,245706,false
104846,m,false,,false,,false
